Name
Abomination of Llanowar
Acquisition Octopus
Acrobatic Maneuver
Act of Heroism
"Adeliz, the Cinder Wind"
"Adriana, Captain of the Guard"
Aerial Guide
Aesthir Glider
Aetherborn Marauder
Aethershield Artificer
Aether Swooper
Aether Theorist
Aethertow
Aether Tradewinds
Agitator Ant
Ahn-Crop Crasher
Air Elemental
Ajani Unyielding
Akki Ember-Keeper
Akki Ronin
Akki War Paint
Akroan Skyguard
Akroma's Vengeance
Alabaster Host Intercessor
Alchemist's Greeting
"Alena, Kessig Trapper"
"Alesha, Who Smiles at Death"
Alley Strangler
Ambitious Aetherborn
Ambush Viper
Ancestral Katana
Ancient Brontodon
Ancient Crab
Angelic Purge
Angel of Finality
Angel of Mercy
Angel of Sanctions
Angel of the Dawn
"Anhelo, the Painter"
Anointer of Valor
Appetite for the Unnatural
Arachnus Web
Arcbound Shikari
"Archelos, Lagoon Mystic"
Ardenvale Tactician // Dizzying Swoop
Armament Corps
Armorcraft Judge
"Aryel, Knight of Windgrace"
Asari Captain
Assassin's Ink
"Atla Palani, Nest Tender"
Attended Knight
Attended Knight
Attune with Aether
Auger Spree
Augur of Bolas
Auramancer
Aven Initiate
Aven Reedstalker
Aviation Pioneer
Awakened Awareness
Azorius Knight-Arbiter
Azra Oddsmaker
Azusa's Many Journeys // Likeness of the Seeker
Bala Ged Scorpion
Balance of Power
Baloth Cage Trap
Bamboo Grove Archer
Bane of the Living
Banishing Slash
Basri's Acolyte
Bastion Enforcer
Bastion Inventor
Battlefield Scavenger
Bearer of Memory
Bearer of the Heavens
Beckon Apparition
Bedevil
Befriending the Moths // Imperial Moth
Behold the Unspeakable // Vision of the Unspeakable
Belligerent Whiptail
Bellowing Aegisaur
Beneath the Sands
Binding Mummy
Bishop of the Bloodstained
Bishop's Soldier
Biting-Palm Ninja
Bitterblade Warrior
Bitterbow Sharpshooters
Blade-Blizzard Kitsune
Blazing Volley
Blighted Bat
Blinding Beam
Blinding Fog
Bloodfell Caves
Bloodhunter Bat
Bloodrage Brawler
Bloodwater Entity
Blossom Prancer
Blur of Blades
Bogstomper
Boiling Earth
Bonebind Orator
Bone Splinters
Boneyard Parley
Boros Elite
Borrowed Malevolence
Boseiju Reaches Skyward // Branch of Boseiju
Brazen Buccaneers
Bristling Boar
Bronze Cudgels
Bronzeplate Boar
Bruenor Battlehammer
Brutal Expulsion
Buccaneer's Bravado
Built to Last
Burning Sun's Avatar
Call of the Conclave
Cancel
Candlekeep Sage
Captain N'ghathrod
Careful Cultivation
Carnival // Carnage
Carrion Imp
Carrion Screecher
Cartouche of Ambition
Cartouche of Knowledge
Cartouche of Solidarity
Cartouche of Strength
Cartouche of Zeal
Cathar Commando
Catti-brie of Mithral Hall
Caught in the Brights
Cavalry Pegasus
Centaur Courser
Centaur Healer
Centaur's Herald
Certain Death
"Chainer, Nightmare Adept"
Chain Reaction
Champion of the Flame
Changeling Titan
Chittering Harvester
Circuit Mender
Claim // Fame
Cloudreader Sphinx
Cloudreader Sphinx
Cobbled Wings
Code of Constraint
Coiling Stalker
Cold-Eyed Selkie
Colossal Dreadmaw
Colossal Dreadmaw
Colossal Dreadmaw
Colossal Dreadmaw
Colossapede
Commune with Dinosaurs
Commune with Spirits
Compelling Argument
Consuming Aberration
Contingency Plan
Coppercoat Vanguard
Corpse Connoisseur
Countervailing Winds
Court Street Denizen
Covert Technician
Cowl Prowler
Crackling Emergence
Crash the Ramparts
Crime // Punishment
Crimson Mage
Crippling Chill
Crossroads Consecrator
Crypt of the Eternals
Cunning Survivor
Curious Pair // Treats to Share
Curio Vendor
Cursed Minotaur
Curse of the Swine
Darkblade Agent
Dark Inquiry
Dauntless Aven
Dauntless Cathar
"Davros, Dalek Creator"
Dawnfeather Eagle
Dead Drop
Deadeye Plunderers
Deadeye Tormentor
Deadly Recluse
Deathbringer Regent
Debt to the Kami
Deceptive Landscape
Decision Paralysis
Deem Worthy
Defiant Khenra
Demanding Dragon
Depths of Desire
Descend upon the Sinful
Desert Cerodon
Desperate Castaways
Devastation Tide
Devotee of Strength
Devour Flesh
Dhund Operative
Die Young
Diminish
Dimir Guildgate
Dimir Infiltrator
Dimir Locket
Dinosaur Hunter
Dinrova Horror
Dire Fleet Captain
Disappearing Act
Discover the Impossible
Dispeller's Capsule
Displace
Dissenter's Deliverance
Distemper of the Blood
Divination
Divine Favor
Divine Verdict
Djeru's Resolve
Dokuchi Shadow-Walker
Dokuchi Silencer
Domesticated Hydra
Doomed Dissenter
Doomed Traveler
Dragonfly Suit
Dragon Fodder
Dragonspark Reactor
Drake Haven
Dramatist's Puppet
Dredge the Mire
Druid's Deliverance
Dryad Sophisticate
Dune Beetle
Duneblast
Durable Handicraft
Dusk // Dawn
Dusk Legion Zealot
Dynacharge
Eagle of the Watch
Eater of Hope
Eater of Virtue
Ecologist's Terrarium
Eiganjo Exemplar
Eiganjo Uprising
Electrify
Elite Vanguard
Elsha of the Infinite
Elusive Tormentor // Insidious Mist
Embereth Paladin
Ember Hauler
Emberhorn Minotaur
Embraal Gear-Smasher
Emissary of Sunrise
Empyrial Storm
End Hostilities
Endless One
Enigma Drake
Enter the Unknown
Enthusiastic Mechanaut
Epic Confrontation
Epic Proportions
Era of Enlightenment // Hand of Enlightenment
Essence Extraction
Eternal Dragon
Ever After
Excoriate
Exemplar of Strength
Explosive Entry
Expose Evil
Eyes in the Skies
"Ezrim, Agency Chief"
Faerie Duelist
Failed Inspection
Fairgrounds Warden
Faith's Fetters
Fan Bearer
Far // Away
Farbog Boneflinger
Farhaven Elf
Farmstead Gleaner
Fathom Mage
Feed the Clan
Fell the Pheasant
Fencing Ace
Fervent Paincaster
Fiery Cannonade
Final Reward
Firecannon Blast
Fists of Ironwood
Flameblade Adept
Flaxen Intruder // Welcome Home
Fog
Fogwalker
Font of Vigor
Forced Landing
Forsake the Worldly
Fortified Rampart
Foul Orchard
Foundry Screecher
Fourth Bridge Prowler
Frilled Deathspitter
Frilled Sandwalla
Frondland Felidar
Frontier Bivouac
Frontline Devastator
Frontline Rebel
Frost Breath
Frost Lynx
Frost Lynx
Frost Lynx
Frostwalla
Futurist Operative
"Galea, Kindler of Hope"
Garenbrig Carver // Shield's Might
Gate Colossus
Gaze of Granite
Geist of the Archives
Generous Visitor
Geomancer's Gambit
Geothermal Kami
Ghastly Conscription
Ghor-Clan Wrecker
Ghostform
Ghostly Flicker
Ghost Ship
Ghoulcaller's Bell
Ghoulcaller's Chant
Giant Growth
Giant Growth
Giant Growth
Giant Growth
Giant Mantis
Giant Spider
Gift of Paradise
Gift of Paradise
Gift of Wrath
Gild
Gilded Cerodon
Gilded Sentinel
Gisa and Geralf
Give // Take
Glaive of the Guildpact
Glimmer of Genius
Gloomshrieker
Glory Seeker
Gnawing Zombie
Goblin Electromancer
Goblin Motivator
Godhunter Octopus
God-Pharaoh's Faithful
Golden Hind
Golgari Locket
Golgari Rotwurm
Good-Fortune Unicorn
Gorging Vulture
Go-Shintai of Ancient Wars
Go-Shintai of Boundless Vigor
Go-Shintai of Hidden Cruelty
Go-Shintai of Lost Wisdom
Graceful Cat
Grafted Growth
Grasping Thrull
Grasp of Phantoms
Gravedigger
Gravelighter
Gravewaker
Grazing Whiptail
Greater Tanuki
Great Hart
Greatsword of Tyr
Griffin Sentinel
Griffnaut Tracker
Grim Strider
Grisly Survivor
Grixis Slavedriver
Ground Assault
Groundshaker Sliver
Gruul Guildgate
Guardians of Oboro
Gust Walker
"Gyrus, Waker of Corpses"
"Halana, Kessig Ranger"
"Half-Squirrel, Half-"
Hanged Executioner
Harmonious Emergence
Harnessed Snubhorn
Haunted Cloak
Hazardous Conditions
Headwater Sentries
Heartflame Duelist // Heartflame Slash
Heavenly Blademaster
Hedonist's Trove
"Heiko Yamazaki, the General"
Heir of the Ancient Fang
Herald of the Dreadhorde
Hero's Downfall
"Hidetsugu, Devouring Chaos"
Highland Game
Hijack
"Hinata, Dawn-Crowned"
Hoisted Hireling
Honored Crop-Captain
Hooded Brawler
Horizon Scholar
Horror of the Broken Lands
Hostile Minotaur
Hour of Reckoning
Hour of Revelation
Howl of the Night Pack
Humble Defector
Hungry Spriggan
Hunter's Edge
Hunt the Weak
Hunt the Weak
Illusory Wrappings
"Imoti, Celebrant of Bounty"
Impeccable Timing
Imperial Ceratops
Imperial Lancer
Imperial Oath
Imperial Subduer
Imperious Oligarch
Incorrigible Youths
Infuriate
Initiate's Companion
In Oketra's Name
Insatiable Appetite
Inspired Charge
Interplanar Beacon
Inventive Iteration // Living Breakthrough
Invigorating Hot Spring
Invoke Despair
Invoke Justice
Invoke the Ancients
Invoke the Winds
Iona's Judgment
Ironclad Slayer
Ixalli's Keeper
Izzet Guildgate
Jace's Defeat
Join Shields
"Jolrael, Voice of Zhalfir"
Jousting Dummy
Jukai Preserver
Jukai Trainee
Justice Strike
"Kaima, the Fractured Calm"
Kaito's Pursuit
Kami of Industry
Kami of Restless Shadows
Kami of Terrible Secrets
Kami of Transience
Kappa Tech-Wrecker
Karn's Touch
Kathari Bomber
Kavu Climber
Keeper of Fables
Keldon Overseer
Keldon Raider
Kessig Forgemaster // Flameheart Werewolf
Khenra Eternal
Khenra Scrapper
Kindled Fury
"Kiora, Behemoth Beckoner"
Kitsune Ace
Knighted Myr
Knight of Autumn
Kor Hookmaster
"Kotose, the Silent Spider"
Kraken Hatchling
Kraken Hatchling
Krovod Haunch
Kumano Faces Kakkazan // Etching of Kumano
